longitude,latitude
-98.0,48.25
-98.75,45.0
-98.75,45.25
-98.75,45.5
-98.75,45.75
-98.0,48.5
-100.25,34.75
-99.5,39.0
-99.5,39.25
-99.5,39.5
-99.5,39.75
-98.0,43.25
-99.5,48.0
-99.5,48.25
-99.5,48.75
-101.0,33.0
-101.0,33.25
-101.0,33.5
-99.5,34.5
-98.75,35.75
-99.0,42.0
-99.0,42.25
-99.0,42.75
-98.75,44.25
-98.75,44.75
-98.25,43.0
-100.5,38.75
-97.25,43.0
-97.25,43.25
-97.25,43.5
-99.5,38.0
-99.5,38.25
-99.5,38.5
-99.5,38.75
-99.0,37.0
-99.0,37.25
-99.0,37.5
-99.0,46.0
-99.0,46.25
-99.0,46.5
-98.25,47.75
-101.25,32.75
-100.5,33.0
-100.5,33.25
-100.5,33.5
-100.5,33.75
-99.5,33.25
-99.5,33.5
-99.5,33.75
-99.0,41.5
-99.75,38.0
-99.75,38.25
-99.75,38.5
-99.75,38.75
-98.25,42.75
-99.75,47.0
-99.75,47.25
-99.0,36.75
-99.0,36.25
-99.0,36.5
-99.0,36.0
-99.75,33.0
-99.75,33.25
-99.75,33.5
-99.75,33.75
-99.0,45.0
-99.0,45.25
-99.0,45.5
-99.0,45.75
-99.75,42.0
-98.25,46.25
-98.25,46.5
-98.25,46.75
-100.5,32.75
-100.5,41.0
-100.0,40.75
-100.0,40.0
-100.0,40.25
-100.0,40.5
-97.5,42.75
-99.0,40.25
-99.0,40.75
-99.0,40.0
-99.75,37.5
-99.75,37.25
-99.75,46.75
-99.75,46.0
-99.75,46.25
-99.75,46.5
-99.25,45.0
-99.25,45.25
-99.25,45.5
-99.25,45.75
-98.5,45.0
-98.5,45.25
-98.5,45.75
